County name,County FIPS code,Infant center-based price: 2018 ($),Infant center-based price: 2023 (estimated) ($),Infant center-based price as share of family income: 2018 (%),Infant home-based price: 2018 ($),Infant home-based price: 2023 (estimated) ($),Infant home-based price as share of family income: 2018 (%),Toddler center-based price: 2018 ($),Toddler center-based price: 2023 (estimated) ($),Toddler center-based price as share of family income: 2018 (%),Toddler home-based price: 2018 ($),Toddler home-based price: 2023 (estimated) ($),Toddler home-based price as share of family income: 2018 (%),Preschool center-based price: 2018 ($),Preschool center-based price: 2023 (estimated) ($),Preschool center-based price as share of family income: 2018 (%),Preschool home-based price: 2018 ($),Preschool home-based price: 2023 (estimated) ($),Preschool home-based price as share of family income: 2018 (%),School-age center-based price: 2018 ($),School-age center-based price: 2023 (estimated) ($),School-age center-based price as share of family income: 2018 (%),School-age home-based price: 2018 ($),School-age home-based price:  2023 (estimated) ($),School-age home-based price as share of family income: 2018 (%),Women's labor force participation rate (%),Women's median earnings ($),Median family income ($),Percent of families in poverty (%),Total population,Percent Asian (%),Percent Black (%),Percent Hispanic (of any race) (%),Percent White (%)
Henry,39069,7481.76,8806.42,10.71,7331.48,8629.53,10.49,6760.00,7956.87,9.68,6795.88,7999.11,9.73,6240.00,7344.81,8.93,6240.00,7344.81,8.93,3250.00,3825.42,4.65,5468.84,6437.11,7.83,76.10,25745.00,69865.00,6.80,27316.00,0.40,0.80,7.60,94.30
Highland,39071,9412.00,11078.41,16.90,7652.84,9007.79,13.74,8580.00,10099.11,15.40,7280.00,8568.94,13.07,7540.00,8874.97,13.54,6883.24,8101.93,12.36,5200.00,6120.67,9.34,6240.00,7344.81,11.20,64.20,22089.00,55701.00,15.50,43007.00,0.40,1.80,1.00,96.10
Hocking,39073,7481.76,8806.42,11.78,7331.48,8629.53,11.55,6760.00,7956.87,10.65,6795.88,7999.11,10.70,6240.00,7344.81,9.83,6240.00,7344.81,9.83,3250.00,3825.42,5.12,5468.84,6437.11,8.61,67.50,23544.00,63491.00,9.70,28495.00,0.30,0.80,1.00,97.20
Holmes,39075,7481.76,8806.42,10.78,7331.48,8629.53,10.56,6760.00,7956.87,9.74,6795.88,7999.11,9.79,6240.00,7344.81,8.99,6240.00,7344.81,8.99,3250.00,3825.42,4.68,5468.84,6437.11,7.88,60.10,18255.00,69395.00,8.40,43859.00,0.20,0.10,0.90,98.40
Huron,39077,9412.00,11078.41,15.28,7652.84,9007.79,12.42,8580.00,10099.11,13.93,7280.00,8568.94,11.82,7540.00,8874.97,12.24,6883.24,8101.93,11.17,5200.00,6120.67,8.44,6240.00,7344.81,10.13,71.80,23620.00,61599.00,10.20,58457.00,0.20,1.40,6.40,94.60
Jackson,39079,7481.76,8806.42,14.66,7331.48,8629.53,14.36,6760.00,7956.87,13.25,6795.88,7999.11,13.32,6240.00,7344.81,12.23,6240.00,7344.81,12.23,3250.00,3825.42,6.37,5468.84,6437.11,10.72,68.40,23378.00,51038.00,15.40,32524.00,0.10,0.60,1.00,96.90
Jefferson,39081,12740.00,14995.64,22.34,8510.84,10017.70,14.93,11180.00,13159.44,19.61,8216.00,9670.66,14.41,9880.00,11629.28,17.33,7800.00,9181.01,13.68,6240.00,7344.81,10.94,6500.00,7650.84,11.40,64.00,22506.00,57022.00,12.60,66886.00,0.50,5.50,1.40,91.40
Knox,39083,12740.00,14995.64,19.72,8510.84,10017.70,13.17,11180.00,13159.44,17.31,8216.00,9670.66,12.72,9880.00,11629.28,15.29,7800.00,9181.01,12.07,6240.00,7344.81,9.66,6500.00,7650.84,10.06,72.90,21272.00,64605.00,9.80,61215.00,0.40,1.10,1.50,96.50
Lake,39085,12740.00,14995.64,16.36,8510.84,10017.70,10.93,11180.00,13159.44,14.35,8216.00,9670.66,10.55,9880.00,11629.28,12.68,7800.00,9181.01,10.01,6240.00,7344.81,8.01,6500.00,7650.84,8.34,78.90,31294.00,77895.00,5.40,230052.00,1.20,4.10,4.30,91.30
Lawrence,39087,9412.00,11078.41,15.91,7652.84,9007.79,12.93,8580.00,10099.11,14.50,7280.00,8568.94,12.30,7540.00,8874.97,12.74,6883.24,8101.93,11.63,5200.00,6120.67,8.79,6240.00,7344.81,10.54,63.50,24472.00,59176.00,14.90,60622.00,0.50,2.10,1.00,95.50
Licking,39089,9412.00,11078.41,12.11,7652.84,9007.79,9.85,8580.00,10099.11,11.04,7280.00,8568.94,9.37,7540.00,8874.97,9.70,6883.24,8101.93,8.86,5200.00,6120.67,6.69,6240.00,7344.81,8.03,75.30,28227.00,77732.00,7.80,172293.00,1.20,3.80,1.80,91.80
Logan,39091,9412.00,11078.41,13.77,7652.84,9007.79,11.20,8580.00,10099.11,12.55,7280.00,8568.94,10.65,7540.00,8874.97,11.03,6883.24,8101.93,10.07,5200.00,6120.67,7.61,6240.00,7344.81,9.13,70.80,25885.00,68351.00,9.70,45307.00,0.90,1.70,1.50,94.70
Lorain,39093,12740.00,14995.64,17.83,8510.84,10017.70,11.91,11180.00,13159.44,15.64,8216.00,9670.66,11.50,9880.00,11629.28,13.82,7800.00,9181.01,10.91,6240.00,7344.81,8.73,6500.00,7650.84,9.10,74.10,25884.00,71466.00,10.10,306713.00,1.10,8.50,9.80,85.10
Lucas,39095,12740.00,14995.64,20.46,8510.84,10017.70,13.67,11180.00,13159.44,17.96,8216.00,9670.66,13.20,9880.00,11629.28,15.87,7800.00,9181.01,12.53,6240.00,7344.81,10.02,6500.00,7650.84,10.44,73.30,25490.00,62253.00,14.50,432379.00,1.80,18.90,7.00,72.10
Madison,39097,7481.76,8806.42,10.06,7331.48,8629.53,9.86,6760.00,7956.87,9.09,6795.88,7999.11,9.14,6240.00,7344.81,8.39,6240.00,7344.81,8.39,3250.00,3825.42,4.37,5468.84,6437.11,7.35,72.50,28204.00,74366.00,7.10,43988.00,1.20,5.90,2.00,90.30
Mahoning,39099,12740.00,14995.64,21.12,8510.84,10017.70,14.11,11180.00,13159.44,18.53,8216.00,9670.66,13.62,9880.00,11629.28,16.38,7800.00,9181.01,12.93,6240.00,7344.81,10.34,6500.00,7650.84,10.77,73.60,22446.00,60333.00,13.70,231064.00,0.90,15.10,5.80,80.00
Marion,39101,7481.76,8806.42,13.14,7331.48,8629.53,12.88,6760.00,7956.87,11.87,6795.88,7999.11,11.94,6240.00,7344.81,10.96,6240.00,7344.81,10.96,3250.00,3825.42,5.71,5468.84,6437.11,9.61,69.00,24799.00,56930.00,11.50,65344.00,0.60,5.80,2.60,89.80
Medina,39103,12740.00,14995.64,14.09,8510.84,10017.70,9.42,11180.00,13159.44,12.37,8216.00,9670.66,9.09,9880.00,11629.28,10.93,7800.00,9181.01,8.63,6240.00,7344.81,6.90,6500.00,7650.84,7.19,77.30,29972.00,90396.00,4.50,177257.00,1.20,1.50,2.00,95.30
Meigs,39105,7481.76,8806.42,13.95,7331.48,8629.53,13.67,6760.00,7956.87,12.61,6795.88,7999.11,12.67,6240.00,7344.81,11.64,6240.00,7344.81,11.64,3250.00,3825.42,6.06,5468.84,6437.11,10.20,60.10,22175.00,53620.00,16.80,23160.00,0.10,1.30,0.50,97.10
Mercer,39107,7481.76,8806.42,10.74,7331.48,8629.53,10.52,6760.00,7956.87,9.70,6795.88,7999.11,9.75,6240.00,7344.81,8.96,6240.00,7344.81,8.96,3250.00,3825.42,4.66,5468.84,6437.11,7.85,80.60,24602.00,69676.00,4.10,40806.00,0.40,0.60,1.90,97.20
Miami,39109,9412.00,11078.41,12.90,7652.84,9007.79,10.49,8580.00,10099.11,11.76,7280.00,8568.94,9.98,7540.00,8874.97,10.33,6883.24,8101.93,9.43,5200.00,6120.67,7.13,6240.00,7344.81,8.55,74.50,26698.00,72974.00,6.40,104800.00,1.30,2.10,1.60,93.90
Monroe,39111,12740.00,14995.64,24.38,8510.84,10017.70,16.28,11180.00,13159.44,21.39,8216.00,9670.66,15.72,9880.00,11629.28,18.90,7800.00,9181.01,14.92,6240.00,7344.81,11.94,6500.00,7650.84,12.44,57.20,21068.00,52266.00,12.50,14090.00,0.40,0.30,1.10,98.20
Montgomery,39113,12740.00,14995.64,19.80,8510.84,10017.70,13.23,11180.00,13159.44,17.38,8216.00,9670.66,12.77,9880.00,11629.28,15.35,7800.00,9181.01,12.12,6240.00,7344.81,9.70,6500.00,7650.84,10.10,72.70,26084.00,64345.00,13.40,532034.00,2.10,20.60,2.80,72.90
